# objid id_nircam z ra_nirspec dec_nirspec mag_F444W z_phot_nircam mag_F160W mag_F814W z_phot_wfc3ir logoh err_logoh_neg err_logoh_pos logm_16 logm_50 logm_84 logsfr_16 logsfr_50 logsfr_84 av_16 av_50 av_84 t_lw_16 t_lw_50 t_lw_84 beta_16 beta_50 beta_84 Muv_16 Muv_50 Muv_84 mu_16 mu_50 mu_84 logre_uv_kpc ref sfr_Hb4861_16 sfr_Hb4861_50 sfr_Hb4861_84 sfr_Ha6564_16 sfr_Ha6564_50 sfr_Ha6564_84 r_offset_arcsec msa_flux_frac
30093 -99 4.194 177.41510010 22.41821671 -99.0 -99.000 26.1 25.8 4.740 7.820 99.000 -99.000 9.072 9.180 9.221 0.931 0.995 1.053 0.003 0.017 0.043 -1.260 -0.993 -0.844 -1.865 -1.803 -1.745 -19.595 -19.643 -19.676 1.343 1.330 1.363 -0.707 morishita+24 1.112 1.162 1.207 1.208 1.234 1.259 0.058 nan
320002 22221 4.658 177.42825320 22.40945244 27.5 4.680 -99.0 26.8 -99.000 7.409 0.157 0.193 8.633 8.679 8.756 0.654 0.705 0.747 0.064 0.105 0.124 -1.503 -1.304 -1.135 -2.037 -1.984 -1.946 -19.270 -19.290 -19.312 1.318 1.307 1.344 -0.760 morishita+24 0.527 0.577 0.623 0.709 0.719 0.730 0.029 0.385
320005 18112 4.658 177.42258010 22.41445854 -99.0 -99.000 -99.0 -99.0 -99.000 8.350 99.000 -99.000 9.581 9.600 9.618 1.389 1.408 1.424 0.072 0.080 0.085 -0.969 -0.815 -0.706 -1.768 -1.750 -1.733 -20.543 -20.553 -20.561 1.324 1.313 1.345 -0.525 morishita+24 1.240 1.259 1.278 -inf nan nan 0.085 0.653
320108 17149 4.257 177.40257260 22.38406940 23.7 4.250 23.8 23.6 4.140 8.358 0.049 0.054 10.129 10.131 10.132 1.566 1.568 1.569 0.248 0.249 0.249 -1.541 -1.408 -1.316 -2.211 -2.210 -2.209 -21.858 -21.859 -21.860 2.200 2.136 2.309 -0.819 morishita+24 1.836 1.841 1.846 -inf nan nan 0.062 0.457
4 1483 7.238 177.38294980 22.41203880 27.6 7.800 28.0 -99.0 7.540 7.214 99.000 -99.000 7.637 7.758 7.878 -0.117 -0.091 0.005 0.021 0.064 0.116 -2.122 -1.825 -1.580 -2.359 -2.264 -2.134 -17.736 -17.797 -17.861 2.969 2.890 3.141 -1.264 morishita+24 0.444 0.483 0.518 -inf nan nan 0.032 0.028
60000 2313 5.585 177.37896830 22.40241860 24.4 5.590 25.0 25.9 5.590 -99.000 -0.000 0.000 9.570 9.626 9.684 1.305 1.326 1.345 0.000 0.001 0.003 -1.084 -1.007 -0.944 -2.049 -2.028 -2.008 -20.992 -21.002 -21.011 2.084 2.061 2.118 -0.656 morishita+24 0.933 0.976 1.015 1.038 1.052 1.065 0.038 0.474
60001 13327 5.686 177.41201450 22.41577630 24.0 5.930 24.7 27.8 6.000 7.687 99.000 -99.000 10.356 10.373 10.389 1.625 1.657 1.688 0.196 0.210 0.222 -0.973 -0.918 -0.865 -1.892 -1.858 -1.824 -21.281 -21.296 -21.313 1.475 1.453 1.501 -0.181 morishita+24 1.614 1.631 1.647 1.751 1.758 1.764 0.098 0.717
60002 5750 5.594 177.38254020 22.39540710 25.2 5.660 25.8 27.0 6.000 -99.000 -0.000 0.000 9.187 9.228 9.306 0.999 1.043 1.083 0.006 0.015 0.030 -1.387 -1.098 -0.905 -1.971 -1.923 -1.883 -20.054 -20.075 -20.093 2.195 2.153 2.235 -0.413 morishita+24 nan -1.645 -1.089 nan -2.534 -1.560 0.104 0.693
60003 1841 5.465 177.37573890 22.39901750 25.0 5.660 25.7 26.4 5.730 -99.000 -0.000 0.000 9.148 9.194 9.262 1.040 1.072 1.111 0.001 0.006 0.012 -1.510 -1.307 -1.170 -2.184 -2.152 -2.114 -20.598 -20.615 -20.636 1.685 1.669 1.710 -0.331 morishita+24 1.359 1.438 1.505 1.251 1.291 1.328 0.099 0.555
80001 6954 5.974 177.39586000 22.41236500 28.8 5.660 -99.0 -99.0 -99.000 -99.000 -0.000 0.000 5.622 6.355 7.018 -1.412 -1.346 -1.154 0.016 0.050 0.147 -2.784 -2.049 -1.337 -2.504 -2.303 -2.051 -14.506 -14.682 -14.821 11.256 7.415 24.111 -2.446 morishita+24 nan -2.379 -1.921 -1.695 -1.624 -1.563 0.057 0.095
80002 10832 4.495 177.39455000 22.39432100 28.4 4.740 28.3 27.8 4.740 7.501 99.000 -99.000 7.299 7.546 7.891 -0.594 -0.557 -0.404 0.104 0.130 0.199 -1.969 -1.706 -1.273 -2.268 -2.216 -2.056 -16.502 -16.596 -16.664 5.675 5.295 5.914 -1.889 morishita+24 -inf nan nan -inf nan nan 0.029 0.338
20036 5631 3.450 177.39289630 22.41289250 28.1 3.750 24.7 26.3 3.890 7.153 99.000 -99.000 7.620 7.666 7.706 -0.226 -0.202 -0.179 0.138 0.148 0.159 -1.698 -1.553 -1.442 -2.226 -2.202 -2.180 -17.441 -17.455 -17.470 3.942 3.859 4.072 -99.000 morishita+24 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.037 0.000
30010 5413 3.013 177.38722410 22.40461930 25.7 3.260 25.5 25.7 3.300 7.281 99.000 -99.000 8.793 8.814 8.837 0.659 0.674 0.688 0.105 0.111 0.117 -1.472 -1.203 -1.045 -2.057 -2.044 -2.032 -19.316 -19.328 -19.342 2.053 0.443 2.968 -99.000 morishita+24 -99.000 -99.000 -99.000 -99.000 -99.000 -99.000 0.065 0.652
# Jades sample
18090 93619 4.769 53.16717990 -27.77461520 28.2 99.000 99.0 99.0 99.000 7.643 0.170 0.212 8.465 8.579 8.626 -0.118 0.386 0.700 0.006 0.153 0.218 -0.876 -0.552 -0.376 -1.621 -1.047 -0.846 -16.337 -16.490 -16.981 1 1 1 0.005 jades 1.140 1.177 1.211 1.097 1.130 1.160 0.058 0.000
18322 94025 3.153 53.13170730 -27.77411930 28.4 99.000 99.0 99.0 99.000 7.261 0.147 0.197 7.127 7.289 7.523 -0.520 -0.253 0.083 0.008 0.043 0.073 -2.210 -1.726 -1.249 -2.449 -2.126 -1.878 -16.687 -17.212 -17.563 1 1 1 -0.310 jades 0.473 0.513 0.550 0.521 0.533 0.544 0.026 0.362
18846 94996 6.336 53.13491670 -27.77270880 27.3 99.000 99.0 99.0 99.000 7.550 0.172 0.223 8.338 8.407 8.485 0.714 0.718 0.723 0.056 0.065 0.072 -2.316 -2.077 -1.860 -2.618 -2.602 -2.584 -19.855 -19.868 -19.884 1 1 1 -0.622 jades 1.181 1.210 1.236 1.321 1.333 1.344 0.084 0.348
19519 95914 3.604 53.16608600 -27.77126230 27.1 99.000 99.0 99.0 99.000 7.418 0.162 0.206 8.537 8.638 8.715 0.501 0.631 0.768 0.212 0.257 0.313 -1.132 -0.981 -0.844 -1.494 -1.368 -1.229 -17.672 -17.777 -17.864 1 1 1 -0.444 jades 0.697 0.724 0.751 0.679 0.690 0.700 0.030 0.342
22251 99226 5.803 53.15406950 -27.76607230 27.0 99.000 99.0 99.0 99.000 7.224 0.094 0.185 7.747 7.904 8.124 0.437 0.493 0.566 0.080 0.114 0.136 -2.665 -2.325 -1.971 -2.232 -2.181 -2.111 -19.108 -19.163 -19.212 1 1 1 -0.189 jades 1.126 1.157 1.185 1.195 1.206 1.217 0.070 0.404
10058975 93645 9.435 53.11243400 -27.77460900 27.5 99.000 99.0 99.0 99.000 7.106 0.147 0.248 8.172 8.358 8.677 0.833 0.895 1.186 0.111 0.199 0.302 -3.060 -2.747 -2.253 -2.531 -2.210 -1.887 -20.013 -20.175 -20.293 1 1 1 -99.000 jades 1.540 1.586 1.627 -inf nan nan 0.062 0.000
# Nakajima sample
