id ra dec z_gsf z err_l_z err_u_z flux_f444w fluxerr_f444w logMstel err_l_logMstel err_u_logMstel logSFRUV err_l_logSFRUV err_u_logSFRUV beta err_l_beta err_u_beta Muv err_l_Muv err_u_Muv logT err_l_logT err_u_logT logZ err_l_logZ err_u_logZ Av err_l_Av err_u_Av sn_uv sn_det mgf err_l_mgf err_u_mgf logre_kpc err_l_logre_kpc err_u_logre_kpc n err_l_n err_u_n q err_l_q err_u_q chi2 no-data-sed scale_flux err_scale_flux_l err_scale_flux_u flag_gf flag_zspec flag_keydrop flag_unresolved flag_bd chi2nu_eazy chi2nu_spex keydrop
ngdeepnircam-31979 53.225365 -27.821129 5.16 5.16 0.0 0.0 652.963 3.632 10.52 0.01 0.01 1.64 0.05 0.06 -1.72 0.05 0.06 -21.05 0.04 0.03 -0.03 0.07 0.06 -1.8 0.03 0.04 1.25 0.06 0.07 64.23 694.18 26.037 0.022 0.022 0.085 0.007 0.007 0.2 0.035 0.035 0.359 0.01 0.01 25.776 6 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-6734 53.126537 -27.81809 5.92 5.92 0.0 0.0 115.629 1.671 9.101 0.05 0.05 0.681 0.05 0.05 -1.56 0.04 0.05 -18.322 0.05 0.05 -0.57 0.31 0.18 -0.61 0.11 0.08 1.19 0.04 0.06 19.716 270.341 27.916 0.021 0.021 -0.878 0.046 0.046 1.0 0.0 0.0 0.2 0.156 0.156 0.863 9 0.98 0.018 0.019 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-7592 53.145054 -27.816431 5.77 5.77 0.0 0.0 20.134 1.279 8.612 0.05 0.06 0.062 0.13 0.1 -2.33 0.13 0.1 -17.961 0.08 0.06 -0.53 0.29 0.17 -1.51 0.35 0.43 0.19 0.16 0.17 14.307 112.459 28.215 0.034 0.034 -0.091 0.022 0.022 1.0 0.0 0.0 0.275 0.02 0.02 0.531 9 1.235 0.038 0.039 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-8179 53.155796 -27.815203 6.71 6.71 0.0 0.0 10.724 0.956 7.386 0.11 0.18 0.146 0.02 0.02 -2.4 0.07 0.07 -18.445 0.06 0.05 -2.27 0.32 1.08 -0.51 0.12 0.13 0.37 0.09 0.09 17.181 116.407 28.482 0.066 0.066 -1.074 0.155 0.155 1.0 0.0 0.0 0.2 2.668 2.668 0.606 9 0.968 0.057 0.06 0 1 0 1 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-8408 53.115379 -27.814774 5.76 5.76 0.0 0.0 42.457 1.71 7.587 0.04 0.05 0.247 0.03 0.03 -2.54 0.03 0.03 -19.198 0.03 0.03 -2.35 0.29 0.41 -0.6 0.04 0.03 0.27 0.04 0.03 25.79 171.272 27.416 0.015 0.015 -0.53 0.015 0.015 1.0 0.0 0.0 0.749 0.03 0.03 0.819 9 1.04 0.014 0.014 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-9326 53.118526 -27.812975 5.12 5.12 0.0 0.0 77.422 1.893 8.243 0.06 0.12 0.893 0.04 0.04 -1.74 0.04 0.04 -19.317 0.05 0.03 -1.82 0.27 0.82 -0.28 0.13 0.1 0.35 0.06 0.2 31.255 271.329 27.172 0.011 0.011 -0.326 0.011 0.011 1.0 0.0 0.0 0.3 0.016 0.016 0.769 9 0.985 0.01 0.01 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-10902 53.14946 -27.809797 5.05 5.05 0.0 0.0 16.735 0.724 7.806 0.17 0.18 0.016 0.02 0.04 -2.27 0.05 0.07 -17.801 0.04 0.05 -1.04 0.28 0.17 -1.03 0.47 0.18 0.01 0.01 0.02 23.114 176.501 28.401 0.014 0.014 -0.36 0.014 0.014 1.0 0.0 0.0 0.2 0.028 0.028 1.358 9 1.136 0.015 0.015 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-11449 53.11042 -27.808928 5.94 5.94 0.0 0.0 16.29 1.502 7.512 0.17 0.42 0.242 0.02 0.02 -2.64 0.09 0.09 -18.644 0.04 0.05 -1.55 0.94 0.83 -0.57 0.19 0.15 0.2 0.14 0.13 15.498 80.034 28.122 0.024 0.024 -0.747 0.024 0.024 1.0 0.0 0.0 0.678 0.081 0.081 0.583 9 1.006 0.022 0.022 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-11841 53.129726 -27.80818 5.56 5.56 0.0 0.0 19.185 1.715 8.216 0.2 0.11 0.006 0.04 0.03 -2.5 0.06 0.11 -18.451 0.08 0.08 -0.55 0.28 0.19 -0.57 0.22 0.16 0.17 0.16 0.22 11.672 84.956 28.586 0.027 0.027 -0.786 0.051 0.051 1.0 0.0 0.0 0.312 0.165 0.165 0.607 9 0.823 0.02 0.02 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-12147 53.130581 -27.807722 5.62 5.62 0.0 0.0 21.067 2.005 8.76 0.05 0.05 0.18 0.09 0.12 -2.17 0.15 0.12 -18.171 0.12 0.07 -0.57 0.31 0.2 -1.69 0.19 0.31 0.02 0.02 0.17 10.4 93.202 28.277 0.042 0.042 -0.231 0.114 0.114 1.0 0.0 0.0 0.495 0.046 0.046 0.56 9 1.095 0.042 0.044 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-14986 53.167301 -27.802874 5.82 5.82 0.0 0.0 10.256 1.056 8.066 0.06 0.04 -0.074 0.04 0.03 -2.52 0.09 0.18 -17.304 0.1 0.09 -0.58 0.3 0.19 -0.52 0.23 0.16 0.18 0.18 0.31 8.125 48.383 28.812 0.033 0.033 -0.458 0.036 0.036 1.0 0.0 0.0 0.244 0.081 0.081 0.435 8 1.277 0.038 0.039 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-16254 53.156235 -27.800737 5.06 5.06 0.0 0.0 5.158 0.834 7.851 0.09 0.06 -0.279 0.17 0.08 -2.06 0.21 0.04 -16.953 0.09 0.14 -0.97 0.24 0.15 -1.82 0.14 0.23 0.01 0.01 0.04 8.044 51.874 29.403 0.034 0.034 -0.989 0.077 0.077 1.0 0.0 0.0 0.328 0.642 0.642 0.626 9 1.025 0.032 0.033 0 1 0 1 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-17941 53.128735 -27.797876 5.44 5.44 0.0 0.0 15.887 0.905 8.987 0.05 0.02 0.017 0.02 0.02 -2.52 0.05 0.09 -17.733 0.06 0.06 -0.01 0.08 0.06 -0.12 0.12 0.07 0.02 0.02 0.09 13.839 126.875 28.581 0.041 0.041 -0.326 0.057 0.057 1.0 0.0 0.0 0.356 0.05 0.05 0.641 9 1.166 0.043 0.045 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-18169 53.121758 -27.797638 5.94 5.94 0.0 0.0 53.436 0.908 7.518 0.01 0.02 0.628 0.0 0.0 -2.6 0.01 0.01 -19.506 0.01 0.01 -2.44 0.32 0.18 -0.6 0.03 0.04 0.14 0.01 0.01 65.469 385.285 27.006 0.005 0.005 -1.044 0.026 0.026 1.0 0.0 0.0 0.2 0.346 0.346 2.385 9 1.041 0.005 0.005 0 1 0 1 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-18204 53.115837 -27.797552 5.12 5.12 0.0 0.0 35.103 0.951 8.461 0.02 0.04 0.401 0.03 0.02 -1.99 0.02 0.01 -18.594 0.03 0.03 -0.93 0.26 0.14 -1.58 0.07 0.09 0.0 0.0 0.01 30.368 279.768 27.856 0.01 0.01 -0.707 0.013 0.013 1.0 0.0 0.0 0.238 0.062 0.062 0.821 9 0.978 0.009 0.009 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-18784 53.123005 -27.796614 5.44 5.44 0.0 0.0 17.342 0.822 9.062 0.01 0.04 0.042 0.02 0.02 -2.5 0.04 0.1 -17.745 0.06 0.04 -0.01 0.06 0.06 -0.09 0.09 0.06 0.04 0.04 0.15 15.849 146.7 28.486 0.014 0.014 -1.023 0.037 0.037 1.0 0.0 0.0 0.2 0.429 0.429 0.607 9 1.208 0.016 0.016 0 1 0 1 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-29538 53.169044 -27.778835 6.63 6.63 0.0 0.0 12.314 1.142 8.001 0.09 0.11 0.141 0.02 0.07 -2.23 0.06 0.06 -18.577 0.06 0.05 -1.43 0.31 0.2 -1.45 0.4 0.31 0.09 0.08 0.1 18.347 110.166 28.448 0.02 0.02 -0.831 0.021 0.021 1.0 0.0 0.0 0.54 0.086 0.086 1.079 9 0.915 0.017 0.017 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-29878 53.130047 -27.778389 5.57 5.57 0.0 0.0 83.337 1.916 8.12 0.07 0.51 0.78 0.01 0.03 -2.36 0.16 0.05 -20.01 0.03 0.07 -1.34 0.76 0.75 -0.6 0.05 0.04 0.22 0.05 0.12 44.524 265.722 26.067 0.175 0.175 0.47 0.159 0.159 10.0 1.934 1.934 0.23 0.01 0.01 1.633 9 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-30683 53.127663 -27.776951 5.04 5.04 0.0 0.0 9.302 1.172 7.834 0.1 0.23 -0.086 0.03 0.1 -2.27 0.15 0.14 -17.784 0.09 0.11 -1.35 0.33 0.52 -1.06 0.48 0.24 0.05 0.05 0.32 9.689 62.308 28.75 0.048 0.048 -0.367 0.051 0.051 1.0 0.0 0.0 0.434 0.073 0.073 0.75 9 1.034 0.044 0.046 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-31651 53.156101 -27.775881 6.1 6.1 0.0 0.0 199.758 3.676 9.693 0.01 0.04 1.313 0.04 0.07 -1.52 0.03 0.07 -19.603 0.04 0.03 -0.55 0.3 0.21 -1.52 0.11 0.07 0.02 0.02 0.08 22.023 328.973 26.84 0.024 0.024 0.015 0.016 0.016 1.0 0.0 0.0 0.624 0.019 0.019 0.918 9 1.104 0.024 0.025 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-32171 53.175819 -27.774473 6.33 6.33 0.0 0.0 43.181 1.704 8.746 0.15 0.09 0.636 0.12 0.08 -1.97 0.13 0.09 -19.001 0.05 0.04 -0.72 0.39 0.23 -0.59 0.14 0.1 0.85 0.14 0.14 24.528 176.639 27.721 0.013 0.013 -0.62 0.017 0.017 1.0 0.0 0.0 0.369 0.031 0.031 0.708 9 1.037 0.012 0.012 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-33170 53.134914 -27.772709 6.33 6.33 0.0 0.0 41.256 0.989 7.792 0.02 0.04 0.422 0.02 0.02 -2.65 0.02 0.02 -19.824 0.01 0.01 -2.37 0.21 0.51 -0.59 0.04 0.03 0.22 0.02 0.02 65.258 312.201 26.934 0.005 0.005 -0.622 0.006 0.006 1.0 0.0 0.0 0.422 0.012 0.012 1.491 9 1.053 0.005 0.005 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-33350 53.166595 -27.772406 6.33 6.33 0.0 0.0 14.832 2.079 7.649 0.14 0.21 0.249 0.03 0.1 -2.22 0.09 0.1 -18.762 0.06 0.07 -1.86 0.26 0.58 -0.95 0.4 0.22 0.14 0.13 0.14 13.773 64.694 28.076 0.03 0.03 -0.261 0.023 0.023 1.0 0.0 0.0 0.209 0.03 0.03 0.693 9 0.954 0.026 0.027 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-33803 53.160625 -27.771608 5.97 5.97 0.0 0.0 15.429 1.754 7.428 0.2 0.36 0.218 0.02 0.02 -2.65 0.07 0.11 -18.739 0.05 0.05 -1.62 0.68 0.77 -0.59 0.12 0.13 0.14 0.12 0.11 14.681 75.038 28.225 0.029 0.029 -0.485 0.034 0.034 1.0 0.0 0.0 0.291 0.07 0.07 0.848 9 0.93 0.025 0.026 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-34065 53.176529 -27.77109 5.89 5.89 0.0 0.0 13.079 0.792 6.986 0.08 0.18 -0.334 0.03 0.04 -2.73 0.02 0.04 -18.124 0.04 0.04 -2.18 0.61 1.02 -0.59 0.05 0.04 0.02 0.02 0.04 20.671 112.384 28.465 0.022 0.022 -0.526 0.024 0.024 1.0 0.0 0.0 0.362 0.038 0.038 0.509 9 1.062 0.022 0.022 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-34138 53.176556 -27.771128 5.89 5.89 0.0 0.0 20.435 1.176 8.105 0.22 0.13 0.465 0.02 0.02 -2.66 0.02 0.06 -17.987 0.05 0.04 -0.63 0.38 0.22 -0.6 0.03 0.04 0.0 0.0 0.01 19.573 136.034 27.555 0.021 0.021 0.054 0.013 0.013 1.0 0.0 0.0 0.218 0.008 0.008 2.612 9 1.759 0.033 0.034 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
jadesgds-35365 53.134232 -27.768915 7.04 7.04 0.0 0.0 15.784 0.833 7.685 0.09 0.13 0.325 0.01 0.01 -2.51 0.08 0.07 -18.257 0.04 0.04 -2.5 0.48 0.97 -0.53 0.1 0.12 0.36 0.11 0.09 21.309 111.909 28.102 0.015 0.015 -0.399 0.015 0.015 1.0 0.0 0.0 0.2 0.027 0.027 0.766 9 1.335 0.019 0.019 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam1-21407 215.00113 53.011265 7.1 7.1 0.0 0.0 52.047 2.549 7.806 0.15 0.16 0.506 0.03 0.02 -2.43 0.11 0.12 -19.485 0.08 0.07 -2.7 0.43 0.67 -0.51 0.11 0.09 0.35 0.14 0.15 11.307 67.75 27.462 0.017 0.017 -0.924 0.03 0.03 1.0 0.0 0.0 0.2 0.248 0.248 0.365 7 0.924 0.015 0.015 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam1-23089 215.01086 53.013317 5.1 5.1 0.0 0.0 365.686 5.148 9.583 0.02 0.02 1.313 0.06 0.06 -1.87 0.04 0.05 -20.641 0.06 0.05 -0.53 0.32 0.19 -1.97 0.02 0.02 0.0 0.0 0.0 25.296 291.063 25.916 0.015 0.015 0.032 0.015 0.015 1.0 0.0 0.0 0.371 0.009 0.009 0.581 7 0.963 0.013 0.014 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam2-1767 214.87251 52.875961 5.67 5.67 0.0 0.0 32.851 2.766 7.428 0.22 0.36 0.308 0.08 0.14 -2.37 0.31 0.23 -18.389 0.21 0.2 -1.34 0.74 0.74 -0.81 0.18 0.16 0.01 0.01 0.05 8.623 51.145 27.714 0.026 0.026 -0.843 0.034 0.034 1.0 0.0 0.0 0.423 0.116 0.116 0.316 7 1.225 0.03 0.03 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam2-7005 214.88797 52.888271 5.27 5.27 0.0 0.0 122.73 4.219 8.954 0.04 0.06 0.994 0.07 0.06 -1.82 0.06 0.05 -19.455 0.06 0.05 -1.34 0.3 0.39 -0.79 0.04 0.06 0.38 0.09 0.05 16.093 141.96 26.855 0.016 0.016 -0.312 0.014 0.014 1.0 0.0 0.0 0.476 0.021 0.021 0.334 7 1.132 0.017 0.017 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam3-9221 214.81299 52.83424 7.18 7.18 0.0 0.0 99.36 4.277 8.242 0.08 0.09 0.822 0.01 0.02 -2.37 0.08 0.08 -19.984 0.04 0.05 -2.77 0.37 0.84 -0.52 0.08 0.11 0.46 0.1 0.09 18.922 71.604 26.881 0.016 0.016 -0.554 0.017 0.017 1.0 0.0 0.0 0.405 0.034 0.034 0.309 7 1.053 0.015 0.015 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam3-9625 214.81163 52.837231 5.28 5.28 0.0 0.0 114.559 5.24 8.407 0.12 0.3 1.027 0.09 0.1 -1.77 0.09 0.09 -19.873 0.07 0.08 -1.59 0.47 0.95 -0.39 0.26 0.14 0.29 0.1 0.21 19.119 95.106 26.793 0.019 0.019 -0.311 0.016 0.016 1.0 0.0 0.0 0.437 0.025 0.025 0.378 7 0.926 0.016 0.017 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam3-15767 214.80647 52.878826 6.11 6.11 0.0 0.0 61.11 2.759 7.76 0.31 0.41 0.72 0.05 0.05 -2.61 0.04 0.41 -19.395 0.14 0.07 -1.76 0.66 0.67 -0.62 0.13 0.05 0.0 0.0 0.03 14.935 101.826 27.005 0.021 0.021 -0.281 0.016 0.016 1.0 0.0 0.0 0.428 0.022 0.022 0.277 7 1.23 0.023 0.024 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam3-18419 214.82896 52.875694 5.77 5.77 0.0 0.0 259.208 4.185 9.498 0.04 0.29 0.938 0.03 0.43 -2.29 0.05 0.58 -20.411 0.16 0.04 -0.55 0.3 0.19 -0.52 0.23 0.18 0.04 0.04 1.22 21.842 195.992 26.467 0.013 0.013 -0.32 0.029 0.029 1.0 0.0 0.0 0.691 0.019 0.019 0.379 7 0.972 0.012 0.012 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam3-20932 214.83617 52.882668 6.0 6.0 0.0 0.0 328.605 3.722 9.114 0.05 0.06 1.264 0.01 0.01 -2.61 0.01 0.01 -21.291 0.02 0.02 -0.56 0.28 0.16 -0.6 0.03 0.03 0.0 0.0 0.0 53.936 296.332 25.582 0.006 0.006 -0.333 0.005 0.005 1.0 0.0 0.0 0.341 0.007 0.007 0.666 7 0.963 0.005 0.005 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam3-21899 214.86159 52.876141 7.17 7.17 0.0 0.0 50.921 3.525 7.475 0.08 0.14 0.505 0.04 0.02 -2.74 0.05 0.08 -19.881 0.09 0.07 -2.68 0.45 0.88 -0.53 0.09 0.12 0.02 0.02 0.1 11.16 42.983 27.49 0.088 0.088 -0.233 0.062 0.062 1.0 0.0 0.0 0.6 0.099 0.099 0.812 7 0.786 0.061 0.067 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam4-2257 214.75339 52.74099 5.45 5.45 0.0 0.0 136.656 3.527 9.798 0.07 0.04 1.208 0.1 0.1 -1.65 0.1 0.1 -19.875 0.06 0.07 -0.06 0.05 0.07 -0.26 0.39 0.19 1.11 0.12 0.12 23.91 152.749 26.64 0.013 0.013 -0.458 0.022 0.022 1.0 0.0 0.0 0.391 0.026 0.026 0.468 7 0.951 0.011 0.011 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam4-9402 214.74466 52.750313 5.21 5.21 0.0 0.0 678.441 5.052 9.735 0.07 0.06 1.705 0.09 0.08 -1.29 0.09 0.07 -20.617 0.05 0.06 -1.43 0.38 0.16 -0.77 0.1 0.07 0.93 0.14 0.07 38.596 428.005 25.95 0.01 0.01 -0.286 0.009 0.009 1.0 0.0 0.0 0.428 0.013 0.013 0.477 7 0.881 0.008 0.008 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam4-12992 214.77391 52.780613 5.43 5.43 0.0 0.0 50.84 4.732 9.268 0.09 0.08 0.638 0.03 0.02 -2.71 0.12 0.22 -19.75 0.12 0.07 -0.01 0.07 0.05 -0.57 0.77 0.42 0.13 0.13 0.27 17.37 60.322 27.075 0.018 0.018 -0.672 0.021 0.021 1.0 0.0 0.0 0.45 0.042 0.042 0.926 7 0.973 0.016 0.016 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam5-20468 214.89146 52.867447 5.15 5.15 0.0 0.0 62.89 4.107 8.493 0.07 0.15 0.533 0.08 0.17 -2.17 0.05 0.18 -19.382 0.11 0.07 -1.4 0.3 0.42 -0.75 0.13 0.07 0.07 0.07 0.21 12.3 88.903 27.277 0.022 0.022 -0.411 0.023 0.023 1.0 0.0 0.0 0.282 0.045 0.045 0.805 7 0.962 0.019 0.019 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-7832 214.82341 52.830288 5.25 5.25 0.0 0.0 340.713 4.505 8.593 0.05 0.19 1.323 0.04 0.04 -1.36 0.03 0.03 -19.579 0.05 0.03 -1.61 0.42 1.03 -0.33 0.11 0.06 0.6 0.04 0.06 24.112 236.222 26.74 0.011 0.011 -0.869 0.016 0.016 1.0 0.0 0.0 0.55 0.051 0.051 1.083 7 0.983 0.01 0.01 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-8960 214.83157 52.831512 7.06 7.06 0.0 0.0 57.055 6.23 8.231 0.22 0.25 0.471 0.07 0.15 -2.18 0.19 0.16 -20.487 0.09 0.09 -2.35 0.59 1.25 -0.7 0.47 0.34 0.71 0.25 0.22 10.423 40.202 27.837 0.037 0.037 -0.477 0.286 0.286 1.0 0.0 0.0 0.555 0.061 0.061 0.417 7 0.526 0.018 0.018 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-10587 214.8672 52.83675 6.06 6.06 0.0 0.0 82.555 3.924 9.072 0.21 0.21 0.632 0.04 0.11 -2.48 0.07 0.37 -19.915 0.1 0.07 -0.54 0.32 0.17 -0.81 0.9 0.24 0.01 0.01 0.05 12.229 90.216 27.236 0.032 0.032 -0.258 0.024 0.024 1.0 0.0 0.0 0.383 0.032 0.032 0.409 7 0.875 0.025 0.026 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-12682 214.87643 52.839428 6.05 6.05 0.0 0.0 37.654 3.193 8.635 0.29 0.21 0.685 0.03 0.02 -2.66 0.09 0.23 -19.138 0.1 0.06 -0.59 0.35 0.17 -0.7 0.63 0.31 0.03 0.03 0.26 10.784 47.181 27.117 0.036 0.036 -0.061 0.025 0.025 1.0 0.0 0.0 0.265 0.018 0.018 0.363 7 1.333 0.043 0.045 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-14083 214.85913 52.8536 7.12 7.12 0.0 0.0 40.61 2.915 8.404 0.32 0.45 0.594 0.03 0.06 -2.33 0.16 0.14 -19.545 0.08 0.07 -1.3 1.07 0.37 -0.46 0.3 0.24 0.41 0.39 0.2 12.798 53.103 27.459 0.033 0.033 -0.265 0.025 0.025 1.0 0.0 0.0 0.481 0.033 0.033 0.374 7 0.986 0.03 0.031 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-14120 214.85907 52.853653 7.12 7.12 0.0 0.0 53.962 3.217 8.599 0.1 0.1 0.949 0.11 0.11 -1.89 0.1 0.11 -19.119 0.08 0.07 -2.74 0.47 0.82 -0.49 0.21 0.21 0.94 0.12 0.13 9.312 55.787 27.404 0.046 0.046 0.03 0.029 0.029 1.0 0.0 0.0 0.253 0.018 0.018 0.479 7 1.284 0.053 0.056 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-15136 214.86436 52.853672 5.67 5.67 0.0 0.0 395.978 5.712 9.5 0.04 0.03 1.16 0.01 0.01 -2.41 0.02 0.04 -20.93 0.03 0.03 -0.55 0.31 0.19 -0.6 0.03 0.04 0.0 0.0 0.0 29.346 232.554 25.706 0.082 0.082 0.175 0.063 0.063 4.798 0.489 0.489 0.383 0.015 0.015 0.913 7 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-15334 214.89635 52.838524 5.27 5.27 0.0 0.0 68.638 3.977 9.395 0.07 0.09 0.695 0.13 0.37 -2.15 0.24 0.4 -18.786 0.25 0.15 -0.03 0.08 0.08 -1.35 0.31 0.4 0.2 0.19 0.57 8.409 65.111 27.013 0.052 0.052 0.17 0.032 0.032 1.0 0.0 0.0 0.2 0.017 0.017 0.333 7 1.464 0.069 0.072 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam6-22118 214.89142 52.86747 5.15 5.15 0.0 0.0 56.305 2.718 8.819 0.27 0.32 0.759 0.25 0.3 -1.87 0.24 0.32 -18.911 0.21 0.15 -1.31 0.29 0.73 -1.03 0.49 0.32 0.51 0.42 0.32 13.231 84.774 27.238 0.02 0.02 -0.35 0.019 0.019 1.0 0.0 0.0 0.371 0.03 0.03 0.301 7 1.147 0.021 0.021 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam7-3779 215.03642 52.94175 5.1 5.1 0.0 0.0 0.0 0.0 8.693 0.17 0.35 0.653 0.04 0.25 -2.21 0.14 0.27 -19.163 0.1 0.1 -1.29 0.33 0.73 -0.93 0.66 0.37 0.07 0.07 0.45 15.274 17.757 26.843 0.097 0.097 -0.705 0.081 0.081 1.0 0.0 0.0 0.463 0.334 0.334 0.201 2 1.268 0.108 0.118 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam7-18822 215.09093 52.951546 5.5 5.5 0.0 0.0 113.763 5.077 9.728 0.06 0.1 1.008 0.21 0.21 -1.78 0.23 0.21 -19.406 0.11 0.13 -0.34 0.33 0.24 -0.29 0.18 0.14 0.91 0.28 0.24 18.922 149.336 26.946 0.019 0.019 -0.327 0.02 0.02 1.0 0.0 0.0 0.2 0.033 0.033 0.046 7 1.09 0.019 0.02 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam7-19909 215.091 52.954319 6.99 6.99 0.0 0.0 0.0 0.0 8.62 0.13 0.23 0.64 0.07 0.17 -2.18 0.12 0.18 -19.58 0.09 0.06 -1.41 0.28 0.31 -0.83 0.68 0.42 0.03 0.02 0.24 13.283 12.415 25.29 1.191 1.191 0.97 0.525 0.525 7.755 5.87 5.87 0.39 0.09 0.09 0.071 2 1.0 1.0 1.0 1 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
ceersnircam8-18483 215.03053 52.902603 5.01 5.01 0.0 0.0 77.312 7.972 8.459 0.07 0.12 0.569 0.02 0.08 -2.25 0.06 0.1 -20.191 0.07 0.05 -1.38 0.29 0.35 -1.02 0.22 0.14 0.02 0.02 0.16 17.618 77.979 27.035 0.016 0.016 -0.773 0.023 0.023 1.0 0.0 0.0 0.265 0.094 0.094 1.064 7 0.724 0.011 0.011 0 1 0 0 0 0.0 0.0 JWST_NIRCAM_MULTIPLE_F090W-d
